branch_id,branch_name,branch_type,region_code,region_name,name_source
IBK-11110-01,종로영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-02,광화문영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-03,혜화영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-04,명륜영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-05,평창영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-06,사직영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-07,무악영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11110-08,창신영업점,영업점,11110,종로구,synthetic_placeholder
IBK-11140-01,을지로영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-02,명동영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-03,충무로영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-04,남대문영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-05,장충영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-06,신당영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-07,황학영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-08,다산영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-09,광희영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-10,회현영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-11,서울역영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-12,중림영업점,영업점,11140,중구,synthetic_placeholder
IBK-11140-13,청구출장소,출장소,11140,중구,synthetic_placeholder
IBK-11170-01,한남영업점,영업점,11170,용산구,synthetic_placeholder
IBK-11170-02,이태원영업점,영업점,11170,용산구,synthetic_placeholder
IBK-11170-03,후암영업점,영업점,11170,용산구,synthetic_placeholder
IBK-11170-04,효창영업점,영업점,11170,용산구,synthetic_placeholder
IBK-11170-05,원효로영업점,영업점,11170,용산구,synthetic_placeholder
IBK-11200-01,왕십리영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11200-02,성수영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11200-03,행당영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11200-04,금호영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11200-05,옥수영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11200-06,마장영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11200-07,용답영업점,영업점,11200,성동구,synthetic_placeholder
IBK-11215-01,구의영업점,영업점,11215,광진구,synthetic_placeholder
IBK-11215-02,자양영업점,영업점,11215,광진구,synthetic_placeholder
IBK-11215-03,화양영업점,영업점,11215,광진구,synthetic_placeholder
IBK-11215-04,중곡영업점,영업점,11215,광진구,synthetic_placeholder
IBK-11215-05,군자영업점,영업점,11215,광진구,synthetic_placeholder
IBK-11230-01,청량리영업점,영업점,11230,동대문구,synthetic_placeholder
IBK-11230-02,제기영업점,영업점,11230,동대문구,synthetic_placeholder
IBK-11230-03,전농영업점,영업점,11230,동대문구,synthetic_placeholder
IBK-11230-04,장안영업점,영업점,11230,동대문구,synthetic_placeholder
IBK-11230-05,답십리영업점,영업점,11230,동대문구,synthetic_placeholder
IBK-11230-06,휘경영업점,영업점,11230,동대문구,synthetic_placeholder
IBK-11260-01,면목영업점,영업점,11260,중랑구,synthetic_placeholder
IBK-11260-02,상봉영업점,영업점,11260,중랑구,synthetic_placeholder
IBK-11260-03,중화영업점,영업점,11260,중랑구,synthetic_placeholder
IBK-11260-04,묵동영업점,영업점,11260,중랑구,synthetic_placeholder
IBK-11260-05,신내영업점,영업점,11260,중랑구,synthetic_placeholder
IBK-11290-01,돈암영업점,영업점,11290,성북구,synthetic_placeholder
IBK-11290-02,장위영업점,영업점,11290,성북구,synthetic_placeholder
IBK-11290-03,석관영업점,영업점,11290,성북구,synthetic_placeholder
IBK-11290-04,월곡영업점,영업점,11290,성북구,synthetic_placeholder
IBK-11290-05,안암영업점,영업점,11290,성북구,synthetic_placeholder
IBK-11305-01,미아영업점,영업점,11305,강북구,synthetic_placeholder
IBK-11305-02,수유영업점,영업점,11305,강북구,synthetic_placeholder
IBK-11305-03,번동영업점,영업점,11305,강북구,synthetic_placeholder
IBK-11305-04,우이영업점,영업점,11305,강북구,synthetic_placeholder
IBK-11320-01,창동영업점,영업점,11320,도봉구,synthetic_placeholder
IBK-11320-02,방학영업점,영업점,11320,도봉구,synthetic_placeholder
IBK-11320-03,쌍문영업점,영업점,11320,도봉구,synthetic_placeholder
IBK-11320-04,도봉영업점,영업점,11320,도봉구,synthetic_placeholder
IBK-11350-01,상계영업점,영업점,11350,노원구,synthetic_placeholder
IBK-11350-02,중계영업점,영업점,11350,노원구,synthetic_placeholder
IBK-11350-03,하계영업점,영업점,11350,노원구,synthetic_placeholder
IBK-11350-04,공릉영업점,영업점,11350,노원구,synthetic_placeholder
IBK-11350-05,월계영업점,영업점,11350,노원구,synthetic_placeholder
IBK-11380-01,불광영업점,영업점,11380,은평구,synthetic_placeholder
IBK-11380-02,연신내영업점,영업점,11380,은평구,synthetic_placeholder
IBK-11380-03,응암영업점,영업점,11380,은평구,synthetic_placeholder
IBK-11380-04,수색영업점,영업점,11380,은평구,synthetic_placeholder
IBK-11380-05,구산영업점,영업점,11380,은평구,synthetic_placeholder
IBK-11410-01,홍제영업점,영업점,11410,서대문구,synthetic_placeholder
IBK-11410-02,연희영업점,영업점,11410,서대문구,synthetic_placeholder
IBK-11410-03,신촌영업점,영업점,11410,서대문구,synthetic_placeholder
IBK-11410-04,충정로영업점,영업점,11410,서대문구,synthetic_placeholder
IBK-11410-05,홍은영업점,영업점,11410,서대문구,synthetic_placeholder
IBK-11440-01,공덕영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11440-02,아현영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11440-03,합정영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11440-04,망원영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11440-05,상암영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11440-06,성산영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11440-07,서교영업점,영업점,11440,마포구,synthetic_placeholder
IBK-11470-01,목동영업점,영업점,11470,양천구,synthetic_placeholder
IBK-11470-02,신정영업점,영업점,11470,양천구,synthetic_placeholder
IBK-11470-03,신월영업점,영업점,11470,양천구,synthetic_placeholder
IBK-11470-04,오목교영업점,영업점,11470,양천구,synthetic_placeholder
IBK-11470-05,목동중앙영업점,영업점,11470,양천구,synthetic_placeholder
IBK-11470-06,양천영업점,영업점,11470,양천구,synthetic_placeholder
IBK-11500-01,화곡영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-02,등촌영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-03,가양영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-04,발산영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-05,방화영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-06,마곡영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-07,공항영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11500-08,염창영업점,영업점,11500,강서구,synthetic_placeholder
IBK-11530-01,구로영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-02,신도림영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-03,개봉영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-04,오류영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-05,고척영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-06,가리봉영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-07,항동영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-08,온수영업점,영업점,11530,구로구,synthetic_placeholder
IBK-11530-09,구로디지털출장소,출장소,11530,구로구,synthetic_placeholder
IBK-11545-01,가산영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-02,독산영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-03,시흥영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-04,가산디지털영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-05,벚꽃로영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-06,금천영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-07,남구로영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11545-08,시흥대로영업점,영업점,11545,금천구,synthetic_placeholder
IBK-11560-01,여의도영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-02,영등포영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-03,당산영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-04,대림영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-05,신길영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-06,양평영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-07,문래영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-08,도림영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-09,여의도중앙영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-10,영등포시장영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-11,선유로영업점,영업점,11560,영등포구,synthetic_placeholder
IBK-11560-12,국회대로출장소,출장소,11560,영등포구,synthetic_placeholder
IBK-11590-01,노량진영업점,영업점,11590,동작구,synthetic_placeholder
IBK-11590-02,사당영업점,영업점,11590,동작구,synthetic_placeholder
IBK-11590-03,상도영업점,영업점,11590,동작구,synthetic_placeholder
IBK-11590-04,흑석영업점,영업점,11590,동작구,synthetic_placeholder
IBK-11590-05,신대방영업점,영업점,11590,동작구,synthetic_placeholder
IBK-11620-01,봉천영업점,영업점,11620,관악구,synthetic_placeholder
IBK-11620-02,신림영업점,영업점,11620,관악구,synthetic_placeholder
IBK-11620-03,서울대입구영업점,영업점,11620,관악구,synthetic_placeholder
IBK-11620-04,난곡영업점,영업점,11620,관악구,synthetic_placeholder
IBK-11620-05,남현영업점,영업점,11620,관악구,synthetic_placeholder
IBK-11650-01,서초영업점,영업점,11650,서초구,synthetic_placeholder
