region_code,region_name,total_pop,elderly_pop,biz_count,ibk_branches,data_status
11110,종로구,136139,31345,46830,7,official
11140,중구,117493,27786,67098,12,official
11170,용산구,199575,40215,27854,8,official
11200,성동구,274346,54672,39264,7,official
11215,광진구,330802,64212,33295,3,official
11230,동대문구,353070,74896,43129,6,official
11260,중랑구,376282,91105,42344,2,official
11290,성북구,421289,89372,35561,5,official
11305,강북구,277695,76075,25636,2,official
11320,도봉구,298067,80626,25298,1,official
11350,노원구,480549,107472,38579,6,official
11380,은평구,453056,105209,36093,3,official
11410,서대문구,299531,63515,28468,4,official
11440,마포구,356154,63177,56080,8,official
11470,양천구,420595,86834,37760,6,official
11500,강서구,548268,116791,60611,7,official
11530,구로구,382531,88368,51832,12,official
11545,금천구,222421,51312,48067,14,official
11560,영등포구,371691,73088,74118,14,official
11590,동작구,371543,77336,27532,3,official
11620,관악구,477503,94292,37657,3,official
11650,서초구,414616,74241,72068,15,official
11680,강남구,552631,97869,101160,23,official
11710,송파구,649715,123731,75957,7,official
11740,강동구,498701,101190,43775,4,official
